"Position","Const","Created","Modified","Description","Title","URL","Title.Type","IMDb.Rating","Runtime..mins.","Year","Genres","Num.Votes","Release.Date","Directors"
1,"tt12683198","2020-09-30","2020-09-30",NA,"Beyto","https://www.imdb.com/title/tt12683198/","movie",6.6,98,2020,"Drama",796,"2020-09-25","Gitta Gsell"
2,"tt10749786","2021-01-26","2021-01-26",NA,"Atlantis","https://www.imdb.com/title/tt10749786/","movie",6.8,108,2019,"Drama, War",2024,"2019-09-04","Valentyn Vasyanovych"
3,"tt2241557","2021-03-28","2021-03-28",NA,"Shoplifters of the World","https://www.imdb.com/title/tt2241557/","movie",5.3,90,2021,"Comedy, Drama",846,"2021-03-26","Stephen Kijak"
4,"tt0370986","2021-06-12","2021-06-12",NA,"Mysterious Skin","https://www.imdb.com/title/tt0370986/","movie",7.6,105,2004,"Drama",69200,"2004-09-03","Gregg Araki"
5,"tt0071615","2021-07-11","2021-07-11",NA,"La montaña sagrada","https://www.imdb.com/title/tt0071615/","movie",7.8,114,1973,"Adventure, Drama, Fantasy",42132,"1973-05-31","Alejandro Jodorowsky"
6,"tt0048140","2021-07-14","2021-07-14",NA,"Guys and Dolls","https://www.imdb.com/title/tt0048140/","movie",7.1,150,1955,"Comedy, Crime, Musical, Romance",17564,"1955-11-03","Joseph L. Mankiewicz"
7,"tt0054649","2021-07-14","2021-07-14",NA,"Babes in Toyland","https://www.imdb.com/title/tt0054649/","movie",6.1,106,1961,"Comedy, Family, Fantasy, Musical, Romance",4192,"1961-12-14","Jack Donohue"
8,"tt0042200","2021-07-14","2021-07-14",NA,"Annie Get Your Gun","https://www.imdb.com/title/tt0042200/","movie",6.9,107,1950,"Comedy, Musical, Romance, Western",4860,"1950-05-02","Busby Berkeley, George Sidney"
9,"tt0045537","2021-07-14","2021-07-14",NA,"The Band Wagon","https://www.imdb.com/title/tt0045537/","movie",7.4,112,1953,"Comedy, Musical, Romance",11346,"1953-07-09","Vincente Minnelli"
10,"tt2060510","2021-07-14","2021-07-14",NA,"Jimi Hendrix: Voodoo Child","https://www.imdb.com/title/tt2060510/","movie",7.1,91,2010,"Documentary, Biography, Music",476,"2010-09-18","Bob Smeaton"
11,"tt0049408","2021-07-14","2021-07-14",NA,"The King and I","https://www.imdb.com/title/tt0049408/","movie",7.4,133,1956,"Biography, Drama, Musical, Romance",25965,"1956-06-28","Walter Lang"
12,"tt0048445","2021-07-14","2021-07-14",NA,"Oklahoma!","https://www.imdb.com/title/tt0048445/","movie",7,145,1955,"Comedy, Drama, Musical, Romance, Western",12775,"1955-10-11","Fred Zinnemann"
13,"tt0063385","2021-07-14","2021-07-14",NA,"Oliver!","https://www.imdb.com/title/tt0063385/","movie",7.4,153,1968,"Drama, Family, Musical",38072,"1968-09-26","Carol Reed"
14,"tt0065054","2021-07-14","2021-07-14",NA,"Sweet Charity","https://www.imdb.com/title/tt0065054/","movie",6.9,149,1969,"Comedy, Drama, Music, Musical, Romance",5836,"1969-02-14","Bob Fosse"
15,"tt0047574","2021-07-14","2021-07-14",NA,"There's No Business Like Show Business","https://www.imdb.com/title/tt0047574/","movie",6.4,117,1954,"Comedy, Drama, Musical, Romance",6000,"1954-12-16","Walter Lang"
16,"tt8526872","2021-07-18","2021-07-18",NA,"Dolemite Is My Name","https://www.imdb.com/title/tt8526872/","movie",7.2,118,2019,"Biography, Comedy, Drama",60047,"2019-09-07","Craig Brewer"
17,"tt6155172","2021-07-23","2021-07-23",NA,"Roma","https://www.imdb.com/title/tt6155172/","movie",7.7,135,2018,"Drama",154923,"2018-08-30","Alfonso Cuarón"
18,"tt0959300","2021-07-23","2021-07-23",NA,"The Devil in the White City","https://www.imdb.com/title/tt0959300/","tvMiniSeries",NA,NA,NA,"Drama, History, Thriller",NA,"",""
19,"tt13640696","2021-08-01","2021-08-01",NA,"See How They Run","https://www.imdb.com/title/tt13640696/","movie",NA,NA,2022,"History, Mystery, Thriller",NA,"2022-12-31","Tom George"
20,"tt0082992","2021-08-10","2021-08-10",NA,"Rich and Famous","https://www.imdb.com/title/tt0082992/","movie",5.9,117,1981,"Drama",1708,"1981-10-09","George Cukor"
21,"tt11909878","2021-08-12","2021-08-12",NA,"Hocus Pocus 2","https://www.imdb.com/title/tt11909878/","movie",NA,NA,2022,"Comedy, Family, Fantasy, Horror, Mystery, Romance",NA,"2022-09-30","Anne Fletcher"
22,"tt0096446","2021-08-17","2021-08-17",NA,"Willow","https://www.imdb.com/title/tt0096446/","movie",7.2,126,1988,"Action, Adventure, Drama, Fantasy, Romance",111008,"1988-05-20","Ron Howard"
23,"tt0101761","2021-08-17","2021-08-17",NA,"The Doors","https://www.imdb.com/title/tt0101761/","movie",7.2,140,1991,"Biography, Drama, Music",91497,"1991-02-23","Oliver Stone"
24,"tt0388789","2021-08-20","2021-08-20",NA,"Born Into Brothels: Calcutta's Red Light Kids","https://www.imdb.com/title/tt0388789/","movie",7.2,85,2004,"Documentary, Biography, News",17198,"2004-01-17","Ross Kauffman, Zana Briski"
25,"tt0312004","2021-08-20","2021-08-20",NA,"The Curse of the Were-Rabbit","https://www.imdb.com/title/tt0312004/","movie",7.5,85,2005,"Animation, Adventure, Comedy, Family, Fantasy, Mystery, Sci-Fi",133868,"2005-09-04","Nick Park, Steve Box"
26,"tt0854678","2021-08-20","2021-08-20",NA,"Taxi to the Dark Side","https://www.imdb.com/title/tt0854678/","movie",7.5,106,2007,"Documentary, Crime, History, War",16002,"2007-04-28","Alex Gibney"
27,"tt0497465","2021-08-20","2021-08-20",NA,"Vicky Cristina Barcelona","https://www.imdb.com/title/tt0497465/","movie",7.1,96,2008,"Comedy, Drama, Romance",253378,"2008-05-17","Woody Allen"
28,"tt1213641","2021-08-20","2021-08-20",NA,"First Man","https://www.imdb.com/title/tt1213641/","movie",7.3,141,2018,"Biography, Drama, History",184817,"2018-08-29","Damien Chazelle"
29,"tt0075686","2021-08-20","2021-08-20",NA,"Annie Hall","https://www.imdb.com/title/tt0075686/","movie",8,93,1977,"Comedy, Romance",262807,"1977-03-27","Woody Allen"
30,"tt0144084","2021-08-20","2021-08-20",NA,"American Psycho","https://www.imdb.com/title/tt0144084/","movie",7.6,102,2000,"Crime, Drama, Horror",571513,"2000-01-21","Mary Harron"
31,"tt0118715","2021-08-20","2021-08-20",NA,"The Big Lebowski","https://www.imdb.com/title/tt0118715/","movie",8.1,117,1998,"Comedy, Crime",791565,"1998-01-18","Ethan Coen, Joel Coen"
32,"tt7775622","2021-08-20","2021-08-20",NA,"Free Solo","https://www.imdb.com/title/tt7775622/","movie",8.1,100,2018,"Documentary, Adventure, Sport",65545,"2018-08-31","Jimmy Chin, Elizabeth Chai Vasarhelyi"
33,"tt0073486","2021-08-20","2021-08-20",NA,"One Flew Over the Cuckoo's Nest","https://www.imdb.com/title/tt0073486/","movie",8.7,133,1975,"Drama",984599,"1975-11-19","Milos Forman"
34,"tt2125608","2021-08-20","2021-08-20",NA,"Searching for Sugar Man","https://www.imdb.com/title/tt2125608/","movie",8.2,86,2012,"Documentary, Biography, Music",67728,"2012-01-19","Malik Bendjelloul"
35,"tt0117951","2021-08-20","2021-08-20",NA,"Trainspotting","https://www.imdb.com/title/tt0117951/","movie",8.1,93,1996,"Drama",674608,"1996-02-23","Danny Boyle"
36,"tt8923484","2021-08-20","2021-08-20",NA,"Crip Camp","https://www.imdb.com/title/tt8923484/","movie",7.7,106,2020,"Documentary, History",7413,"2020-01-23","Nicole Newnham, James Lebrecht"
37,"tt4284010","2021-08-20","2021-08-20",NA,"What Happened, Miss Simone?","https://www.imdb.com/title/tt4284010/","movie",7.6,101,2015,"Documentary, Biography, Music",13817,"2015-01-22","Liz Garbus"
38,"tt4353250","2021-08-20","2021-08-20",NA,"The Last Black Man in San Francisco","https://www.imdb.com/title/tt4353250/","movie",7.3,121,2019,"Drama",18891,"2019-01-26","Joe Talbot"
39,"tt14858658","2021-08-20","2021-08-20",NA,"Pussy Island","https://www.imdb.com/title/tt14858658/","movie",NA,NA,NA,"Thriller",NA,"","Zoë Kravitz"
40,"tt9731598","2021-08-20","2021-08-20",NA,"Bros","https://www.imdb.com/title/tt9731598/","movie",NA,NA,2022,"Comedy, Romance",NA,"2022-09-29","Nicholas Stoller"
41,"tt0034240","2021-08-29","2021-08-29",NA,"Sullivan's Travels","https://www.imdb.com/title/tt0034240/","movie",7.9,90,1941,"Adventure, Comedy, Drama, Romance",26116,"1941-12-05","Preston Sturges"
42,"tt0103919","2021-08-31","2021-08-31",NA,"Candyman","https://www.imdb.com/title/tt0103919/","movie",6.7,99,1992,"Horror, Thriller",88856,"1992-09-11","Bernard Rose"
43,"tt0040725","2021-09-03","2021-09-03",NA,"The Red Shoes","https://www.imdb.com/title/tt0040725/","movie",8.1,135,1948,"Drama, Music, Romance",34516,"1948-07-22","Michael Powell, Emeric Pressburger"
44,"tt0066580","2021-09-16","2021-09-16",NA,"Woodstock","https://www.imdb.com/title/tt0066580/","movie",8.1,184,1970,"Documentary, History, Music",17186,"1970-03-26","Michael Wadleigh"
45,"tt0072890","2021-09-16","2021-09-16",NA,"Dog Day Afternoon","https://www.imdb.com/title/tt0072890/","movie",8,125,1975,"Biography, Crime, Drama, Thriller",252768,"1975-09-19","Sidney Lumet"
46,"tt10648342","2021-09-16","2021-09-16",NA,"Thor: Love and Thunder","https://www.imdb.com/title/tt10648342/","movie",NA,NA,2022,"Action, Adventure, Fantasy, Music, Romance, Sci-Fi",NA,"2022-07-06","Taika Waititi"
47,"tt10298810","2021-09-16","2021-09-16",NA,"Lightyear","https://www.imdb.com/title/tt10298810/","movie",NA,100,2022,"Animation, Action, Adventure, Drama, Family, Sci-Fi",NA,"2022-06-15","Angus MacLane"
48,"tt1462764","2021-09-16","2021-09-16",NA,"Untitled Indiana Jones Project","https://www.imdb.com/title/tt1462764/","movie",NA,NA,2023,"Action, Adventure",NA,"2023-06-30","James Mangold"
49,"tt2531318","2021-09-16","2021-09-16",NA,"The Beatles: Eight Days a Week - The Touring Years","https://www.imdb.com/title/tt2531318/","movie",7.8,106,2016,"Documentary, History, Music",12876,"2016-09-15","Ron Howard"
50,"tt8399720","2021-09-16","2021-09-16",NA,"Tina","https://www.imdb.com/title/tt8399720/","movie",7.9,118,2021,"Documentary, Biography, History, Music",4543,"2021-03-02","Daniel Lindsay, T.J. Martin"
51,"tt0077838","2021-09-16","2021-09-16",NA,"The Last Waltz","https://www.imdb.com/title/tt0077838/","movie",8.1,117,1978,"Documentary, Biography, Music",17774,"1978-04-26","Martin Scorsese"
52,"tt13679628","2021-09-16","2021-09-16",NA,"McCartney 3,2,1","https://www.imdb.com/title/tt13679628/","tvMiniSeries",8.7,30,2021,"Documentary, Biography, Music",2735,"2021-07-16",""
53,"tt0088258","2021-09-16","2021-09-16",NA,"This Is Spinal Tap","https://www.imdb.com/title/tt0088258/","movie",7.9,82,1984,"Comedy, Music",138283,"1984-03-02","Rob Reiner"
54,"tt11874226","2021-09-16","2021-09-16",NA,"American Utopia","https://www.imdb.com/title/tt11874226/","movie",8.2,105,2020,"Documentary, Music, Musical",4434,"2020-09-10","Spike Lee"
55,"tt1113829","2021-09-16","2021-09-16",NA,"George Harrison: Living in the Material World","https://www.imdb.com/title/tt1113829/","movie",8.1,208,2011,"Documentary, Biography, Music",11597,"2011-09-02","Martin Scorsese"
56,"tt4229236","2021-09-16","2021-09-16",NA,"Cobain: Montage of Heck","https://www.imdb.com/title/tt4229236/","movie",7.5,132,2015,"Documentary, Animation, Biography, Music",29696,"2015-01-24","Brett Morgen"
57,"tt0366707","2021-09-16","2021-09-16",NA,"Led Zeppelin DVD","https://www.imdb.com/title/tt0366707/","video",9.2,320,2003,"Documentary, Music",2972,"2003-05-15","Dick Carruthers, Jimmy Page"
58,"tt0075244","2021-09-16","2021-09-16",NA,"The Song Remains the Same","https://www.imdb.com/title/tt0075244/","movie",7.6,137,1976,"Documentary, Music",8393,"1976-10-20","Joe Massot, Peter Clifton"
59,"tt8610436","2021-09-16","2021-09-16",NA,"The Sparks Brothers","https://www.imdb.com/title/tt8610436/","movie",7.8,140,2021,"Documentary, Biography, Comedy, History, Music",4591,"2021-01-30","Edgar Wright"
